No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Price,JLCPCB Stock,LCSC Stock,Primary Category,Secondary Category,Datasheet,JLCPCB Price
18,1,SS14,D10,SMA_L4.3-W2.6-LS5.1-RD,,SS14,SUNMATE(森美特),C5155166,LCSC,,62519,,Diodes,Schottky Diodes,https://item.szlcsc.com/datasheet/SS14/5783804.html,0.0019
19,1,JK-MSMD110-24V,F1,F1812,,JK-MSMD110-24V,JK(金科),C369172,LCSC,,16680,,Circuit Protection,Resettable Fuses,https://item.szlcsc.com/datasheet/JK-MSMD110-24V/343085.html,0.0066
20,1,2.54-1*5,H1,HDR-TH_5P-P2.54-V-M,,2.54-1*5,ZHOURI(洲日),C5156614,LCSC,,21872,,Connectors,Pin Headers,https://item.szlcsc.com/datasheet/2.54-1*5/5790714.html,0.0051
21,4,HX PH254-01-02-Z-L11.5 male header connector,"H3,H4,H7,H8",HDR-TH_2P-P2.54-V-M,,HX PH254-01-02-Z-L11.5 male header connector,hanxia(韩下),C52016390,LCSC,,26110,,Connectors,Pin Headers,https://item.szlcsc.com/datasheet/HX%2520PH254-01-02-Z-L11.5%2520male%2520header%2520connector/54760435.html,0.0021
22,2,HX PH254-01-03-Z-L11.5 pcb pin header,"H5,H6",HDR-TH_3P-P2.54-V-M-1,,HX PH254-01-03-Z-L11.5 pcb pin header,hanxia(韩下),C52016391,LCSC,,13714,,Connectors,Pin Headers,https://item.szlcsc.com/datasheet/HX%2520PH254-01-03-Z-L11.5%2520pcb%2520pin%2520header/54760436.html,0.003
23,3,HCB2012KV-601T20,"L1,L2,L3",L0805,,HCB2012KV-601T20,TAI-TECH(台庆),C5139902,LCSC,,3437,,Filters,Ferrite Beads,,0.0033
24,2,47uH,"L14,U15",IND-SMD_L11.0-W10.2_CXP1050,47uH,CXP1050-470M-AG(47uh),DMBJ(振宝佳),C7187330,LCSC,,632,,"Inductors, Coils, Chokes",Power Inductors,https://atta.szlcsc.com/upload/public/pdf/source/20230710/CFC2BBD551035D908F0C7CBC8304138F.pdf,0.0414
25,2,10uH,"L15,L16",IND-SMD_L3.0-W3.0,10uH,ZET-CORE-303012DT100MBCA,ZE(增益),C49009156,LCSC,,17,,"Inductors, Coils, Chokes",Power Inductors,https://item.szlcsc.com/datasheet/ZET-CORE-303012DT100MBCA/51362276.html,0.0297
26,14,WS2812B-2020,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,,WS2812B-2020,worldsemi,C965555,LCSC,,544398,,Optoelectronics,RGB LEDs(Built-in IC),https://item.szlcsc.com/datasheet/WS2812B-2020/1051115.html,0.0133
27,1,L2N7002SLLT1G,Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,L2N7002SLLT1G,LRC(乐山无线电),C22446827,LCSC,,9975188,,,,https://atta.szlcsc.com/upload/public/pdf/source/20240529/804683F6F610BC810C43B61F364F3FCA.pdf,0.0009
28,9,10kΩ,"R1,R3,R4,R7,R22,R24,R39,R44,R45",R0603,10kΩ,RC0603FR-0710KL,YAGEO(国巨),C98220,LCSC,,5582780,,,,https://atta.szlcsc.com/upload/public/pdf/source/20180927/C295883_E8D83085EA81BD7DE0B2B681138C15EE.pdf,0.0002
29,3,40kΩ,"R5,R6,R8",R0603,40kΩ,SCR0603F40K,VO(翔胜),C3016445,LCSC,,86,,,,https://atta.szlcsc.com/upload/public/pdf/source/20220513/247AF9639BA21CF93567DC289CCC6A22.pdf,0.0002
30,4,1kΩ,"R9,R25,R31,R33",R0603,1kΩ,0603WAF1001T5E,UNI-ROYAL(厚声),C21190,LCSC,,25313760,,,,https://item.szlcsc.com/datasheet/0603WAF1001T5E/21904.html,0.0003
31,2,15kΩ,"R10,R15",R0603,15kΩ,0603WAF1502T5E,UNI-ROYAL(厚声),C22809,LCSC,,2461975,,,,https://item.szlcsc.com/datasheet/0603WAF1502T5E/23536.html,0.0002
32,2,1.2kΩ,"R11,R16",R0603,1.2kΩ,0603WAF1201T5E,UNI-ROYAL(厚声),C22765,LCSC,,1194764,,,,https://item.szlcsc.com/datasheet/0603WAF1201T5E/23492.html,0.0003
33,2,2.2kΩ,"R12,R17",R0603,2.2kΩ,0603WAF2201T5E,UNI-ROYAL(厚声),C4190,LCSC,,4031069,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf,0.0002
34,1,32kΩ,R23,R0603,32kΩ,AR03BTC3202,Viking(光颉),C304066,LCSC,,15979,,,,https://item.szlcsc.com/datasheet/AR03BTC3202/288133.html,0.0049
35,2,47kΩ,"R26,R34",R0603,47kΩ,0603WAF4702T5E,UNI-ROYAL(厚声),C25819,LCSC,,5321299,,,,https://item.szlcsc.com/datasheet/0603WAF4702T5E/26562.html,0.0002
36,2,1MΩ,"R28,R35",R0603,1MΩ,0603WAF1004T5E,UNI-ROYAL(厚声),C22935,LCSC,,2473243,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf,0.0002
37,2,10kΩ,"R29,R36",R1206,10kΩ,1206W4F1002T5E,UNI-ROYAL(厚声),C17902,LCSC,,2069161,,,,https://item.szlcsc.com/datasheet/1206W4F1002T5E/18590.html,0.0007
38,1,10Ω,R32,R0603,10Ω,0603WAF100JT5E,UNI-ROYAL(厚声),C22859,LCSC,,2430662,,,,https://item.szlcsc.com/datasheet/0603WAF100JT5E/23586.html,0.0003
39,2,100Ω,"R37,R50",R0603,100Ω,FRC0603J101 TS,FOJAN(富捷),C2907089,LCSC,,7136380,,,,,0.0002
40,1,73.2kΩ,R38,R0603,73.2kΩ,RS-03K7322FT,FH(风华),C321992,LCSC,,18108,,,,https://atta.szlcsc.com/upload/public/pdf/source/20190505/C118335_36085569433BA7FFC796E569DBFE3139.pdf,0.0003
41,2,100kΩ,"R40,R42",R0402,100kΩ,RC0402FR-07100KL,YAGEO(国巨),C60491,LCSC,,3794222,,,,https://item.szlcsc.com/datasheet/RC0402FR-07100KL/61543.html,0.0002
42,1,25kΩ,R41,R0805,25kΩ,ARG05DTC2502,Viking(光颉),C2828838,LCSC,,13852,,,,https://item.szlcsc.com/datasheet/ARG05DTC2502/2977307.html,0.0018
43,1,20kΩ,R43,R0402,20kΩ,RC0402FR-0720KL,YAGEO(国巨),C93942,LCSC,,821229,,,,https://item.szlcsc.com/datasheet/RC0402FR-0720KL/95140.html,0.0002
44,2,5.1kΩ,"R46,R47",R0402,5.1kΩ,FRC0402F5101TS,FOJAN(富捷),C2906874,LCSC,,16140158,,,,,0.0001
45,4,0Ω,"R48,R49,R51,R52",R0603,0Ω,FRC0603P000 TS,FOJAN(富捷),C2907080,LCSC,,8339684,,,,,0.0002
46,1,EC11E15244B2,SW1,SW-TH_EC11XXXXXXXX,,EC11E15244B2,ALPSALPINE(阿尔卑斯阿尔派),C470754,LCSC,,6016,,Switches,Rotary Encoders,https://atta.szlcsc.com/upload/public/pdf/source/20191216/C470795_DE763ECE59BD49533DB26DB53E5D34B2.pdf,0.3044
47,1,SK12D07VG3,SW2,SW-TH_SK12D07VG3,,SK12D07VG3,SHOU HAN(首韩),C431547,LCSC,,35332,,,,https://item.szlcsc.com/datasheet/SK12D07VG3/427904.html,0.0037
48,1,STM32F401RET6,U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,STM32F401RET6,ST(意法半导体),C116978,LCSC,,2922,,Embedded Processors & Controllers,Microcontrollers (MCU/MPU/SOC),https://item.szlcsc.com/datasheet/STM32F401RET6/118236.html,0.3288
49,2,AD9833BRMZ-REEL7,"U2,U4",MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,AD9833BRMZ-REEL7,ADI(亚德诺),C9652,LCSC,,2305,,Data Acquisition,Direct Digital Synthesis (DDS),https://item.szlcsc.com/datasheet/AD9833BRMZ-REEL7/10182.html,1.2028
50,1,CH224K,U7,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,,CH224K,WCH(南京沁恒),C970725,LCSC,,13466,,,,https://item.szlcsc.com/datasheet/CH224K/1060460.html,0.0885
51,2,XL4015E1,"U8,U11",TO-263-5_L10.2-W8.9-P1.70-TL,,XL4015E1,XLSEMI(芯龙),C51661,LCSC,,34363,,Power Management (PMIC),DC-DC Converters,https://item.szlcsc.com/datasheet/XL4015E1/52674.html,0.1002
52,2,MCP4725A1T-E/CH,"U9,U12",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,MCP4725A1T-E/CH,MICROCHIP(美国微芯),C61423,LCSC,,492,,Data Acquisition,Digital to Analog Converters (DAC),https://item.szlcsc.com/datasheet/MCP4725A1T-E%252FCH/62476.html,0.2434
53,1,LP5907MFX-3.3,U16,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,LP5907MFX-3.3,TECH PUBLIC(台舟),C23380874,LCSC,,29559,,Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",https://item.szlcsc.com/datasheet/LP5907MFX-3.3/25111544.html,0.0193
54,1,LM27761DSGR,U17,WSON-8_L2.0-W2.0-P0.65-BL-EP,,LM27761DSGR,TI(德州仪器),C129351,LCSC,,1644,,Power Management (PMIC),Charge Pumps,https://www.ti.com/cn/lit/gpn/lm27761,0.1434
55,2,ADCMP602BRMZ,"U18,U20",MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,,ADCMP602BRMZ,ADI(亚德诺),C207991,LCSC,,63,,Amplifiers/Comparators,Comparators,https://item.szlcsc.com/datasheet/ADCMP602BRMZ/209045.html,1.1547
56,1,HS20HS072RX,U19,OLED-SMD_HS20HS072RX,,HS20HS072RX,HS(汉昇),C5329582,LCSC,,1687,,Displays,LCD Screen,https://atta.szlcsc.com/upload/public/pdf/source/20221215/8081666AF7BFDE257CAA474692F2FEBB.pdf,0.5482
57,2,SY8201CABC,"U22,U23",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,SY8201CABC,Silergy(矽力杰),C2763455,LCSC,,2536,,Power Management (PMIC),DC-DC Converters,https://item.szlcsc.com/datasheet/SY8201CABC/2893333.html,0.0354
58,1,TSH22IDT,U25,SO-8_L4.9-W3.9-P1.27-LS6.0-BL,,TSH22IDT,ST(意法半导体),C87720,LCSC,,127,,Amplifiers/Comparators,Operational Amplifier,https://item.szlcsc.com/datasheet/TSH22IDT/88898.html,0.0768
59,2,TYPE-C-31-M-12,"USBC1,USBC2",USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC,,150698,,Connectors,USB Connectors,https://item.szlcsc.com/datasheet/TYPE-C-31-M-12/177331.html,0.0269
60,1,8MHz,X1,CRYSTAL-TH_L11.1-W4.7,8MHz,T49S8MLDBE2X,YJX(雅晶鑫),C19189930,LCSC,,9905,,"Crystals, Oscillators, Resonators",Crystals,https://item.szlcsc.com/datasheet/T49S8MLDBE2X/20422180.html,0.0106
61,1,25MHz,X2,OSC-SMD_4P-L3.2-W2.5-BL-OXETDLJANF-0.032768MHZ,25MHz,OXETDLJANF-25MHZ,TAITIEN(泰艺电子),C5382666,LCSC,,2570,,"Crystals, Oscillators, Resonators",Crystal Oscillators,https://atta.szlcsc.com/upload/public/pdf/source/20240422/44B1B88876E7BE6E2B9E1240E5C74211.pdf,0.0899
,,,,,,,,,,,,,,,,
