No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Price	JLCPCB Stock	LCSC Stock	Primary Category	Secondary Category	Datasheet	JLCPCB Price	Unique ID	Add into BOM	Name	Device	Symbol
18	1	SS14	D10	SMA_L4.3-W2.6-LS5.1-RD		SS14	SUNMATE(森美特)	C5155166	LCSC		57097		Diodes	Schottky Diodes	https://item.szlcsc.com/datasheet/SS14/5783804.html	0.0019	gge157	yes	SS14	SS14_C5155166	SS14_C5155166
19	1	JK-MSMD110-24V	F1	F1812		JK-MSMD110-24V	JK(金科)	C369172	LCSC		81944		Circuit Protection	Resettable Fuses	https://item.szlcsc.com/datasheet/JK-MSMD110-24V/343085.html	0.0066	gge79	yes	JK-MSMD110-24V	JK-MSMD110-24V	JK-MSMD110-24V
20	1	2.54-1*5	H1	HDR-TH_5P-P2.54-V-M		2.54-1*5	ZHOURI(洲日)	C5156614	LCSC		899		Connectors	Pin Headers	https://item.szlcsc.com/datasheet/2.54-1*5/5790714.html	0.0052	gge149	yes	2.54-1*5	2.54-1*5	2.54-1*5
21	4	HX PH254-01-02-Z-L11.5 male header connector	H3,H4,H7,H8	HDR-TH_2P-P2.54-V-M		HX PH254-01-02-Z-L11.5 male header connector	hanxia(韩下)	C52016390	LCSC		14925		Connectors	Pin Headers	https://item.szlcsc.com/datasheet/HX%2520PH254-01-02-Z-L11.5%2520male%2520header%2520connector/54760435.html	0.0022	gge151,gge152,gge155,gge156	yes	HX PH254-01-02-Z-L11.5 male header connector	HX PH254-01-02-Z-L11.5 male header connector	HX PH254-01-02-Z-L11.5 MALE HEADER CONNECTOR
22	2	HX PH254-01-03-Z-L11.5 pcb pin header	H5,H6	HDR-TH_3P-P2.54-V-M-1		HX PH254-01-03-Z-L11.5 pcb pin header	hanxia(韩下)	C52016391	LCSC		20627		Connectors	Pin Headers	https://item.szlcsc.com/datasheet/HX%2520PH254-01-03-Z-L11.5%2520pcb%2520pin%2520header/54760436.html	0.0034	gge153,gge154	yes	HX PH254-01-03-Z-L11.5 pcb pin header	HX PH254-01-03-Z-L11.5 pcb pin header	HX PH254-01-03-Z-L11.5 PCB PIN HEADER
23	3	HCB2012KV-601T20	L1,L2,L3	L0805		HCB2012KV-601T20	TAI-TECH(台庆)	C5139902	LCSC		3134		Filters	Ferrite Beads		0.0035	gge10,gge19,gge26	yes	HCB2012KV-601T20	HCB2012KV-601T20	HCB2012KV-601T20
24	2	47uH	L14,U15	IND-SMD_L11.0-W10.2_CXP1050	47uH	CXP1050-470M-AG(47uh)	DMBJ(振宝佳)	C7187330	LCSC		388		Inductors, Coils, Chokes	Power Inductors	https://atta.szlcsc.com/upload/public/pdf/source/20230710/CFC2BBD551035D908F0C7CBC8304138F.pdf	0.0419	gge63,gge64	yes	47uH	CXP1050-470M-AG(47uh)	CXP1050-470M-AG(47UH)
25	2	10uH	L15,L16	IND-SMD_L3.0-W3.0	10uH	ZET-CORE-303012DT100MBCA	ZE(增益)	C49009156	LCSC		2675		Inductors, Coils, Chokes	Power Inductors	https://item.szlcsc.com/datasheet/ZET-CORE-303012DT100MBCA/51362276.html	0.0251	gge158,gge159	yes	10uH	ZET-CORE-303012DT100MBCA	ZET-CORE-303012DT100MBCA
26	14	WS2812B-2020	LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14	LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020		WS2812B-2020	worldsemi	C965555	LCSC		90009		Optoelectronics	RGB LEDs(Built-in IC)	https://item.szlcsc.com/datasheet/WS2812B-2020/1051115.html	0.0136	gge110,gge113,gge116,gge118,gge120,gge122,gge124,gge125,gge127,gge129,gge131,gge133,gge135,gge137	yes	WS2812B-2020	WS2812B-2020	WS2812B-2020
27	1	L2N7002SLLT1G	Q1	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		L2N7002SLLT1G	LRC(乐山无线电)	C22446827	LCSC		7333647				https://atta.szlcsc.com/upload/public/pdf/source/20240529/804683F6F610BC810C43B61F364F3FCA.pdf	0.001	gge99	yes	L2N7002SLLT1G	L2N7002SLLT1G	NPN
28	9	10kΩ	R1,R3,R4,R7,R22,R24,R39,R44,R45	R0603	10kΩ	RC0603FR-0710KL	YAGEO(国巨)	C98220	LCSC		60				https://atta.szlcsc.com/upload/public/pdf/source/20180927/C295883_E8D83085EA81BD7DE0B2B681138C15EE.pdf	0.0003	gge14,gge30,gge31,gge34,gge85,gge87,gge142,gge167,gge168	yes	10kΩ	RC0603FR-0710KL	Res
29	3	40kΩ	R5,R6,R8	R0603	40kΩ	SCR0603F40K	VO(翔胜)	C3016445	LCSC		0				https://atta.szlcsc.com/upload/public/pdf/source/20220513/247AF9639BA21CF93567DC289CCC6A22.pdf	0.0002	gge32,gge33,gge35	yes	40kΩ	SCR0603F40K	Res
30	4	1kΩ	R9,R25,R31,R33	R0603	1kΩ	0603WAF1001T5E	UNI-ROYAL(厚声)	C21190	LCSC		17402634				https://item.szlcsc.com/datasheet/0603WAF1001T5E/21904.html	0.0003	gge38,gge89,gge100,gge104	yes	1kΩ	0603WAF1001T5E	Res
31	2	15kΩ	R10,R15	R0603	15kΩ	0603WAF1502T5E	UNI-ROYAL(厚声)	C22809	LCSC		2483350				https://item.szlcsc.com/datasheet/0603WAF1502T5E/23536.html	0.0003	gge47,gge54	yes	15kΩ	0603WAF1502T5E	Res
32	2	1.2kΩ	R11,R16	R0603	1.2kΩ	0603WAF1201T5E	UNI-ROYAL(厚声)	C22765	LCSC		1340800				https://item.szlcsc.com/datasheet/0603WAF1201T5E/23492.html	0.0003	gge48,gge55	yes	1.2kΩ	0603WAF1201T5E	Res
33	2	2.2kΩ	R12,R17	R0603	2.2kΩ	0603WAF2201T5E	UNI-ROYAL(厚声)	C4190	LCSC		4036746				https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf	0.0003	gge49,gge58	yes	2.2kΩ	0603WAF2201T5E_C4190	Res
